name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Sente talas segar;1130;353;0.7;0.2;84.7;6.6;11;13;1.5;30;694.6;0.6;2.2;0;41;0;0.05;0.2;2.8;5;86;https://assets.pikiran-rakyat.com/crop/0x0:0x0/750x500/photo/2022/03/26/2627914496.png;55;Trinidad et al. (2010);partial→talas;Sedang
Sepi masakan;1131;88;7.9;1.6;10.6;0;337.5;350;2.3;225;258;0.75;1.1;0;0;0;0;0;0;0;100;https://img-global.cpcdn.com/recipes/5816c55413474302/1200x630cq70/photo.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Serbuk Coklat;1132;298;8;23.8;48.9;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://static.sehatq.com/content/review/image/1622196432.jpeg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Serimping talas kebumen;1133;478;2.5;21.2;69.2;1.7;112;118;2.3;0;0;0;0;0;0;0;0.25;0;0;0;100;https://cf.shopee.co.id/file/1a5298e33a33b350a144b846d16c2be3;55;Trinidad et al. (2010);partial→talas;Sedang
Setrup sirup;1134;213;0;0;55;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://awsimages.detik.net.id/community/media/visual/2021/05/10/resep-sirup-cocopandan-1.jpeg?w=720;63;Atkinson et al. (2008);partial→sirup;Sedang
Shabu-shabu;1135;88;3.2;8;0.8;0.9;217;48;2.9;225;0;0;0;0;0;278.75;0.2;0;0;0;100;https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sie reuboh masakan;1136;474;11.2;42.5;11.7;0;26;62;1.3;225;176;0.75;2.5;0;9;0;0.46;0.26;0;0;100;https://cdn0-production-images-kly.akamaized.net/9A6K5z9xgb8RkvkFIp5RFFE5b_o=/0x185:4800x2890/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3911399/original/008984200_1642826892-shutterstock_2081704363.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Singkah (rotan muda);1137;81;5.1;4.5;5.1;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn.yummy.co.id/content-images/images/20210218/Nx9961dOuX853cCpRzqB4Vx1QrnG3P8A-31363133363139383438d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/resize,w_600,h_600,m_fixed,image/format,webp;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Singkong Goreng ;1138;285;1;18;28;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://sweetrip.id/wp-content/uploads/2022/04/singkong.jpeg;75;Atkinson et al. (2008);partial→singkong;Tinggi
Singkong kukus;1139;146;1.2;0.3;34.7;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://asset.kompas.com/crops/5kSIoZRz5urTHMM1PdoIQ64E0zU=/0x0:996x664/750x500/data/photo/2021/08/21/61208628cd52c.jpg;75;Atkinson et al. (2008);partial→singkong;Tinggi
Singkong tape;1140;173;0.5;0.1;42.5;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://image-cdn.medkomtek.com/KWOw6uO2QBAVuCumxbrxIkbIIek=/1200x675/smart/klikdokter-media-buckets/medias/2321509/original/051458700_1606124573-Awas-Kebanyakan-Makan-Tape-Singkong-Bikin-Keputihan-shutterstock_1790685980.jpg;75;Atkinson et al. (2008);partial→singkong;Tinggi
Siomay ;1141;95.3;4.4;2.2;14.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://awsimages.detik.net.id/community/media/visual/2021/11/17/resep-siomay-ayan-jamur_43.jpeg?w=1200;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sirsak;1142;65;1;0.3;16.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2021/09/20/3327403627.jpeg;45;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Sirup;1143;213;0;0;55;0;0;0;0;3;4.2;0;0;0;0;0;0;0;0;0;100;https://ik.trn.asia/uploads/2023/03/1679317359376.jpeg;63;Atkinson et al. (2008);exact;Sedang
Sop buntut masakan;1144;71;7.5;3.6;2.2;0;286;38;3.2;225;0;0;0;0;0;278.75;0.14;0;0;0;100;https://img-global.cpcdn.com/recipes/91727f982ad54daa/1200x630cq70/photo.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sop daging sapi masakan;1145;49;5.8;0.5;5.3;0;158;48;2.2;225;0;0;0;0;0;278.75;0.37;0;0;0;100;https://img.okezone.com/content/2020/02/27/298/2175054/resep-sayur-sop-daging-masakan-rumahan-paling-populer-24WHr0ACJo.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→daging sapi;Tidak signifikan (non-karbohidrat)
